SMILES,TITLE,dockvalent_id,number_of_overlapping_fragments,overlapping_fragments,overlap_score,scaffold,scaffold_generic
NS(=O)(=O)c1ccc2c(ccc(CN3CCN(C[C@@H](C3)c3cccnc3)C(=O)CC)c2Br)c1,KEI-UNI-85a-2,1316_ACL2ACR.0,0,,1221.6511853377726,c1cncc(C2CNCCN(Cc3ccc4ccccc4c3)C2)c1,C1CCC(C2CCCCC(CC3CCC4CCCCC4C3)C2)CC1
NS(=O)(=O)c1ccc2c(ccc(CN3CCN(C[C@@H](C3)c3cccnc3)C(=O)C)c2Br)c1,KEI-UNI-85a-2,1316_ACL.0,0,,1334.0939499791314,c1cncc(C2CNCCN(Cc3ccc4ccccc4c3)C2)c1,C1CCC(C2CCCCC(CC3CCC4CCCCC4C3)C2)CC1
Cc1c(C[N@@H+]2CCN(C[C@@H](C2)c2cccnc2)C(=O)CC)ccc2cc(ccc12)S(=O)(=O)N,KEI-UNI-85a-3,1317_ACL2ACR.0,0,,1427.5840773700988,c1cncc(C2CNCC[NH+](Cc3ccc4ccccc4c3)C2)c1,C1CCC(C2CCCCC(CC3CCC4CCCCC4C3)C2)CC1
Cc1c(C[N@@H+]2CCN(C[C@@H](C2)c2cccnc2)C(=O)C)ccc2cc(ccc12)S(=O)(=O)N,KEI-UNI-85a-3,1317_ACL.0,0,,1238.076719032302,c1cncc(C2CNCC[NH+](Cc3ccc4ccccc4c3)C2)c1,C1CCC(C2CCCCC(CC3CCC4CCCCC4C3)C2)CC1
NC(=O)c1ccc2c(F)c(CN3CCN(C[C@@H](C3)c3cccnc3)C(=O)C)ccc2c1,KEI-UNI-85a-4,1318_ACL.0,0,,1136.5255906350517,c1cncc(C2CNCCN(Cc3ccc4ccccc4c3)C2)c1,C1CCC(C2CCCCC(CC3CCC4CCCCC4C3)C2)CC1
NS(=O)(=O)c1ccc2c(F)c(CN3CCN(C[C@@H](C3)c3cccnc3)C(=O)CC)ccc2n1,KEI-UNI-85a-5,1319_ACL2ACR.0,0,,1134.7182816149345,c1cncc(C2CNCCN(Cc3ccc4ncccc4c3)C2)c1,C1CCC(C2CCCCC(CC3CCC4CCCCC4C3)C2)CC1
NS(=O)(=O)c1ccc2c(F)c(CN3CCN(C[C@@H](C3)c3cccnc3)C(=O)C)ccc2n1,KEI-UNI-85a-5,1319_ACL.0,0,,1169.9271966861784,c1cncc(C2CNCCN(Cc3ccc4ncccc4c3)C2)c1,C1CCC(C2CCCCC(CC3CCC4CCCCC4C3)C2)CC1
NC(=O)c1ccc2c(F)c(CN3CCN(C[C@@H](C3)c3cccnc3)C(=O)C)ccc2n1,KEI-UNI-85a-6,1320_ACL.0,0,,1551.3798365908588,c1cncc(C2CNCCN(Cc3ccc4ncccc4c3)C2)c1,C1CCC(C2CCCCC(CC3CCC4CCCCC4C3)C2)CC1
Cc1c(C[N@@H+]2CCN(C[C@@H](C2)c2cccnc2)C(=O)CC)ccc2nc(ccc12)C(=O)N,KEI-UNI-85a-7,1321_ACL2ACR.0,0,,953.0907573756892,c1cncc(C2CNCC[NH+](Cc3ccc4ncccc4c3)C2)c1,C1CCC(C2CCCCC(CC3CCC4CCCCC4C3)C2)CC1
Cc1c(C[N@@H+]2CCN(C[C@@H](C2)c2cccnc2)C(=O)C)ccc2nc(ccc12)C(=O)N,KEI-UNI-85a-7,1321_ACL.0,0,,1028.6306769051919,c1cncc(C2CNCC[NH+](Cc3ccc4ncccc4c3)C2)c1,C1CCC(C2CCCCC(CC3CCC4CCCCC4C3)C2)CC1
